id	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
DED29	991	1660	1816	2158	161542	137010
DED2A	1005	1362	1473	2050	124778	120645
DED2B	1135	1555	2195	2776	165910	146979
DED31	5094	5359	9315	13172	437101	510512
DED32	865	1356	2073	2425	99006	120775
DED33	513	927	1046	1510	79821	70533
DED34	1008	1686	1883	2630	250974	145366
DED35	1017	1317	1814	2316	128166	129166
DED36	725	1073	1343	1738	103590	93409
DEE01	588	1180	1614	2089	105427.76	89934
DEE02	2105	2772	4659	5229	260838	234295
DEE03	2041	2590	4686	6277	239462	230140
DEE04	693	1052	1320	1890	102407	93323
DEE05	1221	2464	2630	4082	211708.46	184877
DEE06	721	1319	1470	1964	109687.29	99693
DEE07	1417	2140	2707	4134	199553.54	185457
DEE08	1400	2607	3022	3944	226523.09	201932
DEE09	1628	3212	3441	4690	264161.3	241017
DEE0A	1041	2072	2025	2459	179780.35	158223
DEE0B	1520	2284	3307	5177	219936.26	203989
DEE0C	1514	3001	3029	4242	249418.53	219222
DEE0D	912	1475	1950	2434	143719	127464
DEE0E	896	1737	2040	2659	161867.44	142906
DEF01	748	948	2439	3007	84742	87792
DEF02	2188	2393	7116	8611	237337	236902
DEF03	1812	2603	5001	5983	214017	211541
DEF04	710	951	1857	2301	80803	77595
DEF05	1013	1656	2362	2902	136547	136451
DEF06	1503	2006	2788	3525	175690	187094
DEF07	1254	1755	3244	4417	163080	166727
DEF08	1333	2424	3328	3954	200168	205688
DEF09	2433	3049	6200	8200	288109	301320
DEF0A	917	1410	1595	2087	130838	135422
DEF0B	2210	2931	4693	5812	265739	272488
DEF0C	1527	2251	3076	3630	194568	199101
DEF0D	2106	2481	4856	6227	244781	258336
DEF0E	1020	1581	2843	3411	135161	134664
DEF0F	1904	2280	4805	6497	214477	226252
DEG01	1892	2076	4742	6048	202931	202929
DEG02	688	1218	1913	2243	116419	101618
DEG03	1071	912	2034	3352	99095	102752
DEG04	233	532	884	971	50182	41015
DEG05	620	669	1056	1369	62324	64720
DEG06	855	1080	1303	1978	115379	107924
DEG07	696	1068	1448	1787	100112	91762
DEG09	867	1357	1614	2162	120816	111643
DEG0A	538	1099	1183	1400	96135	85362
DEG0B	913	1520	1967	2598	145190	134262
DEG0C	1109	1677	2152	3000	149625	141405
DEG0D	609	831	972	1333	82158	75257
DEG0E	511	797	808	1187	74720	69425
DEG0F	898	1400	1418	2392	122714	114445
DEG0G	713	894	1048	1510	91790	86568
DEG0H	408	849	820	1246	69146	62384
DEG0I	772	1496	1742	2584	135425	121542
DEG0J	630	907	1195	1666	93847	88935
DEG0K	642	1144	1364	1901	100472	90910
DEG0L	691	1410	1496	1777	126137	112682
DEG0M	687	1286	1334	1767	117143	103313
DEG0N	331	540	963	958	44368	43308
DEG0P	958	1514	1917	2848	146708	135058
DK011	10648	6354	21175	29787	600992.68	656582
DK012	5906	5315	15770	20514	503688.45	504481
DK013	4454	4175	8433	11558	444857.6	441849
DK014	367	545	769	989	44529	42913
DK021	2532	1996	3897	5605	234226.63	232459
DK022	6049	6976	9959	13369	570031.19	586968
DK031	5494	5000	9378	12472	471732	482410
DK032	8156	6955	16130	22027	697455.53	712249
DK041	5009	3981	10069	13153	413193.91	424668
DK042	9954	7154	16401	23261	760630.82	812373
DK050	6469	6140	11966	16516	572239.21	578839
EE001	7421	5778	5810	13595	528109	523277
EE004	1745	2087	998	1879	167529	161078
EE006	1524	1851	819	1439	145344	140267
EE007	1490	2538	971	1858	182437	170719
EE008	3848	4418	1845	4041	355818	345594
ES111	9825	11618	15419	26474	1090397	1120058
ES112	2208	4867	4384	7191	362650	347343
ES113	2156	4706	4104	6302	340367	328804
ES114	8986	8438	12444	21048	895628	938873
ES120	8221	12741	15037	25762	1067081	1059136
ES130	5886	5522	8419	15074	529568	570613
ES211	3210	2412	6921	11746	279912	306527
ES212	7239	6269	14281	24031	667706	691839
ES213	10861	10752	22289	37960	1122105	1140373
ES220	7029	5292	11790	20057	542559	606234
ES230	3518	2860	5195	8723	265274	311773
ES241	2141	2474	3516	6004	205970	220388
